algorithm,mean_mir_raw,mean_mir_kbits_s,rv_below_5_count,rv_below_5_percent,finite_rv_count,n_components_expected,n_datasets
Amica,119.58684430678116,43.1319850703483,277,30.01083423618635,923,923,13
Py-EM,119.52843576415277,43.11091856923581,269,29.144095341278444,922,923,13
Py-DAAREM,119.51910434835654,43.1075529608435,285,30.87757313109426,922,923,13
Ext. Infomax,119.28255572891443,43.02223578752621,233,25.243770314192847,888,923,13
Pearson,119.24271753586501,43.00786714724811,239,25.893824485373777,923,923,13
Infomax,119.40483227803165,43.066337881879065,234,25.352112676056336,872,923,13
SHIBBS,118.50970410728063,42.74348752889344,175,18.95991332611051,893,923,13
FastICA,118.4269371945132,42.71363557263105,186,20.151679306608884,923,923,13
JADE,118.49008304715062,42.736410703031055,170,18.41820151679307,891,923,13
TICA,118.34524935829093,42.68417281230158,159,17.22643553629469,886,923,13
JADE opt.,118.22868908130928,42.642132434401226,137,14.842903575297942,894,923,13
JADE-TD,117.7603107959422,42.47320009632646,124,13.434452871072589,891,923,13
FOBI,117.32138041132609,42.31488887985504,99,10.725893824485373,900,923,13
SOBIRO,117.67066167652828,42.44086590018184,124,13.434452871072589,882,923,13
EVD24,117.27935339769432,42.299730786713404,96,10.400866738894909,894,923,13
EVD,116.96434446513211,42.18611493996153,89,9.642470205850486,892,923,13
SOBI,117.87161870015326,42.513346074677784,115,12.459371614301192,923,923,13
icaMS,116.95697021539603,42.183455232437964,69,7.475622968580716,922,923,13
AMUSE,116.82528254999362,42.13595878371895,53,5.742145178764897,862,923,13
PCA,116.06321956505448,41.86110171662603,35,3.791982665222102,785,923,13
