algorithm,mean_mir,std_mir,n
Amica,119.58684430678116,20.530832330434016,13
AMICA-Python,119.52784588675817,20.517046190245903,13
Infomax,119.40483227803165,20.52000502919075,13
Ext. Infomax,119.28255572891443,20.459175602095446,13
Pearson,119.24271753586501,20.424299889274966,13
SHIBBS,118.50970410728063,20.341098503302316,13
JADE,118.49008304715062,20.33239529313506,13
FastICA,118.4269371945132,20.34686625119847,13
TICA,118.34524935829093,20.353706973850166,13
JADE opt.,118.22868908130928,20.372529584005683,13
SOBI,117.87161870015326,20.26196860867425,13
JADE-TD,117.7603107959422,20.344548303616904,13
SOBIRO,117.67066167652828,20.16078990564411,13
FOBI,117.32138041132609,20.27973213745695,13
EVD24,117.27935339769432,20.300467092292443,13
EVD,116.96434446513211,20.285837672682085,13
icaMS,116.95697021539603,20.22764596397033,13
AMUSE,116.82528254999362,20.269136396941093,13
PCA,116.06321956505448,20.363390044754716,13
